state,s_code,code,s_district,s_municipality
Schleswig-Holstein,010515175004,01051004,Bargenstedt,Meldorf
Schleswig-Holstein,010515175006,01051006,Barlt,Meldorf
Schleswig-Holstein,010515175015,01051015,Bunsoh,Meldorf
Schleswig-Holstein,010515175017,01051017,Busenwurth,Meldorf
Schleswig-Holstein,010515175027,01051027,Elpersbüttel,Meldorf
Schleswig-Holstein,010515175028,01051028,Epenwöhrden,Meldorf
Schleswig-Holstein,010515175039,01051039,Gudendorf,Meldorf
Schleswig-Holstein,010515175054,01051054,Immenstedt,Meldorf
Schleswig-Holstein,010515175063,01051063,Krumstedt,Meldorf
Schleswig-Holstein,010515175074,01051074,"Meldorf, Stadt",Meldorf
Schleswig-Holstein,010515175078,01051078,Nindorf,Meldorf
Schleswig-Holstein,010515175083,01051083,Odderade,Meldorf
Schleswig-Holstein,010515175085,01051085,Offenbüttel,Meldorf
Schleswig-Holstein,010515175086,01051086,Osterrade,Meldorf
Schleswig-Holstein,010515175098,01051098,Sarzbüttel,Meldorf
Schleswig-Holstein,010515175099,01051099,Schafstedt,Meldorf
Schleswig-Holstein,010515175104,01051104,Schrum,Meldorf
Schleswig-Holstein,010515175126,01051126,Wennbüttel,Meldorf
Schleswig-Holstein,010515175134,01051134,Windbergen,Meldorf
Schleswig-Holstein,010515175135,01051135,Wolmersdorf,Meldorf
Schleswig-Holstein,010515175137,01051137,Nordermeldorf,Meldorf
Schleswig-Holstein,010515175138,01051138,Tensbüttel-Röst,Meldorf
Schleswig-Holstein,010515178,,Amt Büsum-Wesselburen,Büsum
Schleswig-Holstein,010515178013,01051013,Büsum,Büsum
Schleswig-Holstein,010515178014,01051014,Büsumer Deichhausen,Büsum
Schleswig-Holstein,010515178033,01051033,Friedrichsgabekoog,Büsum
Schleswig-Holstein,010515178043,01051043,Hedwigenkoog,Büsum
Schleswig-Holstein,010515178045,01051045,Hellschen-Heringsand-Unterschaar,Büsum
Schleswig-Holstein,010515178050,01051050,Hillgroven,Büsum
Schleswig-Holstein,010515178079,01051079,Norddeich,Büsum
Schleswig-Holstein,010515178084,01051084,Oesterdeichstrich,Büsum
Schleswig-Holstein,010515178093,01051093,Reinsbüttel,Büsum
Schleswig-Holstein,010515178105,01051105,Schülp,Büsum
Schleswig-Holstein,010515178108,01051108,Strübbel,Büsum
Schleswig-Holstein,010515178109,01051109,Süderdeich,Büsum
